customer_id,Cluster
CUST0000016,0
CUST0000026,0
CUST0000028,0
CUST0000031,0
CUST0000044,0
CUST0000054,0
CUST0000057,0
CUST0000103,0
CUST0000114,0
CUST0000126,0
CUST0000143,0
CUST0000147,0
CUST0000162,0
CUST0000173,0
CUST0000181,0
CUST0000185,0
CUST0000191,0
CUST0000213,0
CUST0000275,0
CUST0000305,0
CUST0000307,0
CUST0000310,0
CUST0000347,0
CUST0000388,0
CUST0000406,0
CUST0000414,0
CUST0000416,0
CUST0000459,0
CUST0000460,0
CUST0000469,0
CUST0000478,0
CUST0000495,0
CUST0000499,0
CUST0000502,0
CUST0000524,0
CUST0000526,0
CUST0000527,0
CUST0000542,0
CUST0000545,0
CUST0000566,0
CUST0000599,0
CUST0000606,0
CUST0000627,0
CUST0000667,0
CUST0000670,0
CUST0000677,0
CUST0000691,0
CUST0000695,0
CUST0000753,0
CUST0000756,0
CUST0000771,0
CUST0000778,0
CUST0000781,0
CUST0000820,0
CUST0000830,0
CUST0000840,0
CUST0000866,0
CUST0000869,0
CUST0000874,0
CUST0000907,0
CUST0000916,0
CUST0000920,0
CUST0000934,0
CUST0000935,0
CUST0000938,0
CUST0000939,0
CUST0000978,0
CUST0000982,0
CUST0001001,0
CUST0001006,0
CUST0001007,0
CUST0001012,0
CUST0001015,0
CUST0001026,0
CUST0001033,0
CUST0001034,0
CUST0001035,0
CUST0001067,0
CUST0001076,0
CUST0001091,0
CUST0001094,0
CUST0001108,0
CUST0001119,0
CUST0001125,0
CUST0001130,0
CUST0001152,0
CUST0001165,0
CUST0001166,0
CUST0001170,0
CUST0001179,0
CUST0001204,0
CUST0001206,0
CUST0001217,0
CUST0001236,0
CUST0001241,0
CUST0001243,0
CUST0001249,0
CUST0001254,0
CUST0001257,0
CUST0001258,0
CUST0001268,0
CUST0001273,0
CUST0001275,0
CUST0001285,0
CUST0001320,0
CUST0001342,0
CUST0001355,0
CUST0001367,0
CUST0001375,0
CUST0001388,0
CUST0001391,0
CUST0001396,0
CUST0001405,0
CUST0001422,0
CUST0001426,0
CUST0001432,0
CUST0001440,0
CUST0001445,0
CUST0001473,0
CUST0001502,0
CUST0001503,0
CUST0001510,0
CUST0001513,0
CUST0001517,0
CUST0001546,0
CUST0001551,0
CUST0001565,0
CUST0001581,0
CUST0001591,0
CUST0001620,0
CUST0001640,0
CUST0001651,0
CUST0001652,0
CUST0001658,0
CUST0001663,0
CUST0001680,0
CUST0001755,0
CUST0001774,0
CUST0001780,0
CUST0001785,0
CUST0001786,0
CUST0001802,0
CUST0001803,0
CUST0001827,0
CUST0001828,0
CUST0001831,0
CUST0001835,0
CUST0001837,0
CUST0001850,0
CUST0001860,0
CUST0001862,0
CUST0001863,0
CUST0001875,0
CUST0001882,0
CUST0001904,0
CUST0001934,0
CUST0001935,0
CUST0001962,0
CUST0001971,0
CUST0001978,0
CUST0001992,0
CUST0002000,0
CUST0002009,0
CUST0002072,0
CUST0002077,0
CUST0002082,0
CUST0002104,0
CUST0002113,0
CUST0002127,0
CUST0002144,0
CUST0002146,0
CUST0002162,0
CUST0002163,0
CUST0002185,0
CUST0002196,0
CUST0002223,0
CUST0002233,0
CUST0002249,0
CUST0002250,0
